time, rfu, kV, uA
0,0.00109754,-4.743,0
0.125,0.001127358,-3.045,0
0.25,0.001121773,-4.155,0
0.375,0.001131325,-2.184,0
0.5,0.001122745,-5.169,0
0.625,0.001127974,-2.764,0
0.751,0.001130402,-4.625,0
0.876,0.001116205,-2.698,0
1.001,0.001110409,-3.858,0
1.126,0.001131746,-2.174,0
1.251,0.001128799,-4.599,0
1.376,0.001117548,-2.482,0
1.501,0.001131066,-5.126,0
1.626,0.001129333,-1.898,0
1.751,0.00113385,-3.979,0
1.876,0.001104824,-1.7,0
2.002,0.001118503,-4.03,0
2.127,0.001125157,-1.849,0
2.252,0.001120478,-4.433,0
2.377,0.001121336,-1.558,0
2.502,0.001135857,-3.44,0
2.627,0.001105423,-2.034,0
2.752,0.001117419,-3.879,0
2.877,0.001118503,-1.682,0
3.002,0.00111423,-4.051,0
3.127,0.001131066,-1.595,0
3.252,0.00110552,-3.806,0
3.378,0.001117645,-1.987,0
3.503,0.001105488,-3.93,0
3.628,0.00111274,-1.836,0
3.753,0.001131373,-4.114,0
3.878,0.001130013,-1.739,0
4.003,0.001121984,-3.945,0
4.128,0.00111941,-2.953,0
4.253,0.001113582,-4.341,0
4.378,0.001136699,-2.549,0
4.503,0.001122939,-3.558,0
4.628,0.001113922,-2.567,0
4.754,0.001145603,-3.454,0
4.879,0.001125076,-2.242,0
5.004,0.00112357,-3.858,0
5.129,0.001114618,-2.784,0
5.254,0.00112561,-4.394,0
5.379,0.001120624,-2.299,0
5.504,0.001147594,-4.55,0
5.629,0.001134077,-2.607,0
5.754,0.001141248,-5.068,0
5.879,0.001136505,-2.962,0
6.005,0.001122016,-4.719,0
6.13,0.001122631,-2.405,0
6.255,0.001123295,-3.07,0
6.38,0.001149358,-2.753,0
6.505,0.001126339,-3.035,0
6.63,0.001119604,-1.982,0
6.755,0.001133818,-3.647,0
6.88,0.001141782,-2.505,0
7.005,0.001131049,-4.47,0
7.13,0.001114505,-2.428,0
7.255,0.001117532,-3.552,0
7.381,0.001128346,-2.69,0
7.506,0.001117419,-3.843,0
7.631,0.001131001,-3.085,0
7.756,0.001150103,-4.001,0
7.881,0.001120802,-2.141,0
8.006,0.001125303,-4.285,0
8.131,0.00113364,-2.162,0
8.256,0.001115039,-4.945,0
8.381,0.001139775,-2.494,0
8.506,0.001135857,-4.656,0
8.631,0.001126387,-2.195,0
8.757,0.001124299,-4.476,0
8.882,0.001128119,-3.538,0
9.007,0.001098041,-4.301,0
9.132,0.001112546,-2.943,0
9.257,0.001118277,-4.24,0
9.382,0.001122939,-2.576,0
9.507,0.001128087,-3.971,0
9.632,0.001130677,-2.885,0
9.757,0.001129771,-4.679,0
9.882,0.00113024,-2.342,0
10.008,0.001131341,-4.568,0
10.133,0.001138674,-2.33,0
10.258,0.00113283,-4.402,0
10.383,0.001143077,-2.271,0
10.508,0.001130661,-4.615,0
10.633,0.001146882,-2.32,0
10.758,0.001137638,-4.58,0
10.883,0.001138431,-2.434,0
11.008,0.001126258,-4.408,0
11.133,0.001142802,-2.178,0
11.258,0.001139985,-4.619,0
11.384,0.001138172,-2.948,0
11.509,0.001122696,-4.463,0
11.634,0.001113453,-2.168,0
11.759,0.001145878,-4.041,0
11.884,0.001125691,-2.698,0
12.009,0.001131422,-4.478,0
12.134,0.001116771,-2.412,0
12.259,0.001136003,-4.741,0
12.384,0.001137088,-2.314,0
12.509,0.001131244,-4.394,0
12.635,0.001135954,-3.571,0
12.76,0.001137638,-4.695,0
12.885,0.00112629,-3.328,0
13.01,0.001132199,-4.758,0
13.135,0.001132976,-2.338,0
13.26,0.001128848,-4.602,0
13.385,0.001142818,-2.839,0
13.51,0.001129204,-5.684,0
13.635,0.001142495,-2.751,0
13.76,0.001121838,-5.609,0
13.885,0.001129576,-3.142,0
14.011,0.001129819,-4.437,0
14.136,0.001127585,-3.211,0
14.261,0.001139289,-4.822,0
14.386,0.001128216,-3.417,0
14.511,0.001129091,-5,0
14.636,0.001114893,-3.021,0
14.761,0.001123587,-4.877,0
14.886,0.001130871,-2.905,0
15.011,0.001121223,-5.121,0
15.136,0.001131066,-3.295,0
15.261,0.001127779,-4.756,0
15.387,0.001141459,-2.792,0
15.512,0.001134757,-5.456,0
15.637,0.001129155,-3.227,0
15.762,0.001125513,-4.983,0
15.887,0.001136553,-3.396,0
16.012,0.00112132,7498.19,0
16.137,0.001101457,9484.012,0
16.262,0.001091388,9484.734,0
16.387,0.0010904,9556.053,0
16.512,0.001101182,9577.896,0
16.638,0.001100567,9580.563,0
16.763,0.001117467,9578.547,0
16.888,0.001098365,9580.849,0
17.013,0.001110393,9578.641,0
17.138,0.001099725,9581.135,0
17.263,0.001105893,9578.624,0
17.388,0.001093962,9581.255,0
17.513,0.001098851,9578.714,0
17.638,0.001094367,9581.474,0
17.763,0.001109956,9578.749,0
